,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Speed,Wind Speed,Temp (F)
0,Montgomery,1.0,US,1561768398,74.0,32.37,-86.3,89.01,1.45,81.97
1,Juneau,40.0,US,1561768583,23.0,58.3,-134.42,84.2,8.05,83.19
2,Phoenix,40.0,US,1561768504,6.0,33.45,-112.08,111.0,13.87,107.64
3,Little Rock,1.0,US,1561768504,78.0,34.75,-92.29,86.0,4.7,81.5
4,Sacramento,1.0,US,1561768580,17.0,38.58,-121.49,89.01,11.41,83.14
5,Denver,40.0,US,1561768116,16.0,39.74,-104.98,93.2,12.75,89.38
6,Hartford,1.0,US,1561768628,44.0,41.76,-72.69,84.2,3.36,76.75
7,Dover,1.0,US,1561768681,66.0,39.16,-75.52,84.2,4.32,79.74
8,Tallahassee,1.0,US,1561768629,74.0,30.44,-84.28,84.99,4.7,83.44
9,Atlanta,75.0,US,1561768628,48.0,33.75,-84.39,86.0,9.17,81.97
10,Honolulu,75.0,US,1561768680,78.0,21.3,-157.86,82.0,11.41,79.75
11,Boise,1.0,US,1561768562,40.0,43.62,-116.2,75.2,8.05,71.73
12,Springfield,75.0,US,1561768402,66.0,37.22,-93.29,87.01,10.29,83.93
13,Indianapolis,1.0,US,1561768540,54.0,39.77,-86.16,87.01,5.82,84.67
14,Des Moines,75.0,US,1561768596,70.0,41.59,-93.6,86.0,6.93,83.66
15,Topeka,1.0,US,1561768428,55.0,39.05,-95.68,93.0,14.99,89.85
16,Frankfort,40.0,US,1561768503,54.0,38.2,-84.87,89.6,4.7,85.91
17,Baton Rouge,1.0,US,1561768442,83.0,30.45,-91.15,75.2,3.36,72.99
18,Augusta,1.0,US,1561768692,64.0,44.31,-69.78,75.0,5.82,68.72
19,Annapolis,1.0,US,1561768693,69.0,38.98,-76.49,84.0,15.41,78.19
20,Boston,75.0,US,1561768601,61.0,42.36,-71.06,82.99,9.17,77.52
21,Lansing,90.0,US,1561768657,61.0,42.73,-84.56,84.2,4.7,81.46
22,Saint Paul,1.0,US,1561768694,54.0,44.95,-93.1,84.0,5.82,81.18
23,Jackson,1.0,US,1561768561,26.0,43.48,-110.76,81.0,9.17,79.48
24,Jefferson City,20.0,US,1561768503,65.0,38.58,-92.17,86.0,8.05,81.41
25,Helena,90.0,US,1561768578,32.0,46.59,-112.04,68.0,12.75,61.74
26,Lincoln,19.0,GB,1561768410,100.0,53.23,-0.54,57.2,10.29,54.66
27,Carson City,1.0,US,1561768503,19.0,39.16,-119.77,72.0,16.28,65.14
28,Concord,1.0,US,1561768695,61.0,43.21,-71.54,79.0,1.66,74.84
29,Trenton,40.0,US,1561768479,94.0,40.22,-74.74,82.4,6.93,76.86
30,Santa Fe,99.0,AR,1561768449,88.0,-31.62,-60.7,61.0,3.0,61.0
31,Albany,75.0,US,1561768473,54.0,42.65,-73.75,81.0,5.82,75.92
32,Raleigh,1.0,US,1561768558,78.0,35.78,-78.64,84.99,3.83,78.44
33,Bismarck,1.0,US,1561768697,74.0,46.81,-100.78,84.2,10.29,81.81
34,Columbus,1.0,US,1561768523,74.0,32.46,-84.99,89.6,5.77,86.47
35,Oklahoma City,1.0,US,1561768567,0.0,35.47,-97.52,93.0,10.29,90.52
36,Salem,1.0,US,1561768684,35.0,44.94,-123.03,75.0,6.93,71.04
37,Harrisburg,75.0,US,1561768508,66.0,40.27,-76.89,84.2,10.29,79.99
38,Providence,1.0,US,1561768698,65.0,41.82,-71.41,82.4,3.04,76.15
39,Columbia,1.0,US,1561768698,62.0,34.0,-81.03,87.8,4.27,83.71
40,Pierre,40.0,US,1561768699,66.0,44.37,-100.35,89.01,11.41,88.25
41,Nashville,20.0,US,1561768558,66.0,36.16,-86.77,87.8,4.7,83.37
42,Austin,1.0,US,1561768083,52.0,30.27,-97.74,91.4,9.17,89.11
43,Salt Lake City,1.0,US,1561768665,15.0,40.77,-111.89,95.0,21.92,87.35
44,Montpelier,1.0,US,1561768691,69.0,44.26,-72.58,78.8,3.36,72.86
45,Richmond,90.0,CA,1561768700,63.0,49.16,-123.14,68.0,9.17,64.54
46,Olympia,75.0,US,1561768700,43.0,47.05,-122.89,73.4,6.93,70.23
47,Charleston,1.0,US,1561768578,74.0,32.79,-79.94,82.4,6.93,81.41
48,Madison,75.0,US,1561768417,65.0,43.07,-89.38,82.99,5.82,80.02
49,Cheyenne,1.0,US,1561768701,21.0,41.14,-104.82,93.99,8.05,85.03
