,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Speed,Wind Speed,Temp (F)
0,Montgomery,1.0,US,1561610120,100.0,32.37,-86.3,75.0,5.1,71.38
1,Juneau,75.0,US,1561610124,39.0,58.3,-134.42,78.8,4.7,73.74
2,Phoenix,1.0,US,1561610356,11.0,33.45,-112.08,95.0,13.87,91.76
3,Little Rock,40.0,US,1561610353,88.0,34.75,-92.29,78.8,1.36,76.42
4,Sacramento,1.0,US,1561610163,55.0,38.58,-121.49,69.8,11.41,62.82
5,Denver,20.0,US,1561609820,34.0,39.74,-104.98,73.99,10.29,67.86
6,Hartford,1.0,US,1561610389,100.0,41.76,-72.69,72.0,4.27,67.1
7,Dover,20.0,US,1561610323,78.0,39.16,-75.52,77.0,5.82,73.09
8,Tallahassee,1.0,US,1561610131,94.0,30.44,-84.28,82.0,3.36,78.24
9,Atlanta,1.0,US,1561609714,94.0,33.75,-84.39,75.2,3.36,72.39
10,Honolulu,90.0,US,1561610109,83.0,21.3,-157.86,80.6,6.93,77.32
11,Boise,48.0,US,1561610390,17.0,43.62,-116.2,77.0,5.82,72.25
12,Springfield,20.0,US,1561610391,77.0,42.1,-72.59,72.0,3.36,66.27
13,Indianapolis,75.0,US,1561609747,100.0,39.77,-86.16,78.01,3.36,74.82
14,Des Moines,20.0,US,1561610391,73.0,41.59,-93.6,75.2,6.93,72.48
15,Topeka,1.0,US,1561610335,83.0,39.05,-95.68,80.01,4.7,77.74
16,Frankfort,1.0,US,1561610128,83.0,38.2,-84.87,78.8,1.74,73.85
17,Baton Rouge,1.0,US,1561610102,94.0,30.45,-91.15,80.6,2.39,78.89
18,Augusta,90.0,US,1561610392,93.0,44.31,-69.78,64.0,4.7,59.88
19,Annapolis,1.0,US,1561610165,83.0,38.98,-76.49,81.0,6.08,74.82
20,Boston,90.0,US,1561610281,88.0,42.36,-71.06,66.99,8.05,63.32
21,Lansing,1.0,US,1561610393,88.0,42.73,-84.56,68.0,8.05,64.71
22,Saint Paul,1.0,US,1561610393,60.0,44.95,-93.1,75.2,4.41,70.36
23,Jackson,1.0,US,1561610297,100.0,32.3,-90.18,77.0,2.28,75.69
24,Jefferson City,1.0,US,1561610394,78.0,38.58,-92.17,75.0,6.93,71.85
25,Helena,1.0,US,1561610394,59.0,46.59,-112.04,60.8,9.17,53.83
26,Lincoln,0.0,GB,1561610394,93.0,53.23,-0.54,53.6,4.7,50.94
27,Carson City,1.0,US,1561610395,50.0,39.16,-119.77,64.4,12.75,55.9
28,Concord,75.0,US,1561610237,88.0,43.21,-71.54,64.99,6.93,62.47
29,Trenton,1.0,US,1561610243,65.0,40.22,-74.74,78.01,3.36,72.16
30,Santa Fe,0.0,AR,1561610372,63.0,-31.62,-60.7,48.99,4.0,48.25
31,Albany,90.0,US,1561610396,100.0,42.65,-73.75,68.0,4.27,63.46
32,Raleigh,1.0,US,1561610255,100.0,35.78,-78.64,75.0,2.15,71.98
33,Bismarck,1.0,US,1561610372,68.0,46.81,-100.78,71.6,9.17,69.91
34,Columbus,20.0,US,1561610373,100.0,32.46,-84.99,75.2,3.53,72.61
35,Oklahoma City,1.0,US,1561610221,0.0,35.47,-97.52,81.0,11.41,78.71
36,Salem,40.0,IN,1561610397,62.0,11.66,78.16,87.8,4.7,87.8
37,Harrisburg,75.0,US,1561610361,73.0,40.27,-76.89,75.2,4.7,70.86
38,Providence,75.0,US,1561610223,100.0,41.82,-71.41,69.01,1.66,66.02
39,Columbia,1.0,US,1561610275,88.0,34.0,-81.03,73.99,0.69,71.11
40,Pierre,1.0,US,1561610398,73.0,44.37,-100.35,73.4,10.29,72.55
41,Nashville,90.0,US,1561610359,73.0,36.16,-86.77,77.0,12.75,72.18
42,Austin,40.0,US,1561610109,94.0,30.27,-97.74,78.01,4.7,75.79
43,Salt Lake City,1.0,US,1561610325,23.0,40.77,-111.89,84.2,8.05,72.66
44,Montpelier,1.0,US,1561610399,100.0,44.26,-72.58,64.99,3.98,61.05
45,Richmond,75.0,CA,1561610323,59.0,49.16,-123.14,66.2,9.17,61.86
46,Olympia,75.0,US,1561610400,77.0,47.05,-122.89,61.0,4.7,58.37
47,Charleston,40.0,US,1561610370,83.0,32.79,-79.94,75.99,0.78,73.08
48,Madison,1.0,US,1561610297,93.0,43.07,-89.38,69.8,3.15,65.84
49,Cheyenne,40.0,US,1561610364,76.0,41.14,-104.82,66.99,13.4,60.98
