,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Speed,Wind Speed,Temp (F)
0,Montgomery,1.0,US,1562036983,94.0,32.37,-86.3,82.4,4.29,79.38
1,Juneau,20.0,US,1562037264,60.0,58.3,-134.42,71.6,10.29,70.54
2,Phoenix,20.0,US,1562037264,9.0,33.45,-112.08,105.8,16.11,101.23
3,Little Rock,20.0,US,1562037262,78.0,34.75,-92.29,82.4,5.82,79.07
4,Sacramento,20.0,US,1562036965,34.0,38.58,-121.49,87.8,10.29,78.62
5,Denver,90.0,US,1562037128,82.0,39.74,-104.98,70.0,5.82,66.31
6,Hartford,75.0,US,1562037056,88.0,41.76,-72.69,73.4,5.5,67.39
7,Dover,1.0,US,1562037134,88.0,39.16,-75.52,73.4,3.27,68.86
8,Tallahassee,20.0,US,1562037168,74.0,30.44,-84.28,86.0,8.05,82.92
9,Atlanta,1.0,US,1562037137,74.0,33.75,-84.39,82.99,8.7,77.92
10,Honolulu,75.0,US,1562037266,74.0,21.3,-157.86,88.0,11.41,84.27
11,Boise,1.0,US,1562037135,19.0,43.62,-116.2,89.6,4.7,82.0
12,Springfield,1.0,US,1562037143,73.0,42.1,-72.59,72.0,5.5,66.7
13,Indianapolis,1.0,US,1562037266,88.0,39.77,-86.16,84.2,8.05,80.55
14,Des Moines,1.0,US,1562037113,74.0,41.59,-93.6,82.0,9.62,78.75
15,Topeka,1.0,US,1562037267,83.0,39.05,-95.68,84.2,6.93,80.04
16,Frankfort,1.0,US,1562037267,88.0,38.2,-84.87,79.0,3.36,75.31
17,Baton Rouge,1.0,US,1562037202,78.0,30.45,-91.15,82.4,6.93,78.96
18,Augusta,75.0,US,1562037268,73.0,44.31,-69.78,70.0,4.7,65.07
19,Annapolis,1.0,US,1562037102,69.0,38.98,-76.49,77.0,6.46,70.39
20,Boston,49.0,US,1562037052,64.0,42.36,-71.06,73.0,8.05,69.01
21,Lansing,1.0,US,1562037268,69.0,42.73,-84.56,80.6,6.93,78.08
22,Saint Paul,90.0,US,1562037258,94.0,44.95,-93.1,71.6,4.7,69.33
23,Jackson,1.0,US,1562036971,55.0,43.48,-110.76,71.6,3.36,64.92
24,Jefferson City,1.0,US,1562037269,69.0,38.58,-92.17,82.99,6.93,79.79
25,Helena,1.0,US,1562037098,26.0,46.59,-112.04,80.6,4.7,69.22
26,Lincoln,0.0,GB,1562037032,93.0,53.23,-0.54,52.0,4.7,50.31
27,Carson City,1.0,US,1562037271,28.0,39.16,-119.77,80.6,13.87,69.12
28,Concord,1.0,US,1562037271,77.0,43.21,-71.54,71.01,2.55,65.95
29,Trenton,1.0,US,1562037254,88.0,40.22,-74.74,75.99,6.35,70.79
30,Santa Fe,0.0,AR,1562037208,75.0,-31.62,-60.7,48.99,11.99,47.39
31,Albany,1.0,US,1562037272,72.0,42.65,-73.75,73.4,6.93,66.31
32,Raleigh,1.0,US,1562037101,94.0,35.78,-78.64,77.0,3.06,72.82
33,Bismarck,1.0,US,1562037028,82.0,46.81,-100.78,70.0,5.82,68.59
34,Columbus,1.0,US,1562037046,74.0,39.96,-83.0,82.4,5.82,78.1
35,Oklahoma City,1.0,US,1562037243,48.0,35.47,-97.52,82.99,10.29,79.72
36,Salem,90.0,US,1562037249,59.0,44.94,-123.03,69.01,9.17,63.86
37,Harrisburg,20.0,US,1562037273,77.0,40.27,-76.89,70.0,3.33,66.79
38,Providence,20.0,US,1562037253,78.0,41.82,-71.41,72.0,6.93,67.37
39,Columbia,1.0,US,1562037273,88.0,34.0,-81.03,84.2,4.05,79.68
40,Pierre,1.0,US,1562037274,83.0,44.37,-100.35,71.6,5.82,69.78
41,Nashville,2.0,US,1562037268,83.0,36.16,-86.77,82.4,3.36,76.84
42,Austin,20.0,US,1562037143,69.0,30.27,-97.74,82.99,8.05,80.92
43,Salt Lake City,1.0,US,1562037018,32.0,40.77,-111.89,87.8,3.36,78.51
44,Montpelier,90.0,US,1562037047,82.0,44.26,-72.58,70.0,2.21,64.17
45,Richmond,1.0,CA,1562037121,59.0,49.16,-123.14,73.99,12.75,70.68
46,Olympia,1.0,US,1562037069,72.0,47.05,-122.89,73.0,8.05,67.03
47,Charleston,1.0,US,1562037013,79.0,32.79,-79.94,84.99,5.82,82.44
48,Madison,1.0,US,1562037121,94.0,43.07,-89.38,80.6,6.55,76.32
49,Cheyenne,40.0,US,1562037225,77.0,41.14,-104.82,68.0,6.93,61.43
